target,experiment,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_high,recall_high,recall_low,n_samples,n_groups
valence_binary,random_oversampling_top30_features,Linear SVM,0.6986754966887417,0.6903674596431606,0.6671067772999818,0.7098773003428178,0.8397790055248618,0.7102803738317757,0.6704545454545454,302,96
valence_binary,smote_top30_features,Random Forest,0.7152317880794702,0.6685960067969414,0.6639233954451346,0.7187103231733234,0.8106796116504854,0.780373831775701,0.5568181818181818,302,96
valence_binary,no_sampling_top30_features,Extra Trees,0.7251655629139073,0.6622238742565845,0.6638279039201749,0.7237391057280065,0.8018433179723502,0.8130841121495327,0.5113636363636364,302,96
valence_binary,no_sampling_all_features,RBF SVM,0.7052980132450332,0.6716227697536109,0.6611575457307465,0.7121823063435917,0.817258883248731,0.7523364485981309,0.5909090909090909,302,96
valence_binary,smote_all_features,Hist Gradient Boosting,0.7119205298013245,0.6629141886151232,0.6589696662902536,0.7150352864784463,0.8067632850241546,0.780373831775701,0.5454545454545454,302,96
valence_binary,random_oversampling_top30_features,Gradient Boosting,0.7019867549668874,0.66928632115548,0.6582851395524265,0.7092703575359642,0.8163265306122449,0.7476635514018691,0.5909090909090909,302,96
valence_binary,smote_top30_features,Linear SVM,0.695364238410596,0.6746495327102804,0.6578493670262548,0.7051181049705247,0.824468085106383,0.7242990654205608,0.625,302,96
valence_binary,smote_top30_features,Extra Trees,0.7152317880794702,0.6585598980458793,0.6574879991559845,0.7161631395137199,0.8018867924528302,0.794392523364486,0.5227272727272727,302,96
valence_binary,no_sampling_all_features,Extra Trees,0.7317880794701986,0.6501699235344095,0.6570250830727815,0.7238345692151543,0.7903930131004366,0.8457943925233645,0.45454545454545453,302,96
valence_binary,no_sampling_top30_features,Logistic Regression,0.6887417218543046,0.6800127442650807,0.6569011360889534,0.7005088948545432,0.8333333333333334,0.7009345794392523,0.6590909090909091,302,96
valence_binary,random_oversampling_top30_features,Logistic Regression,0.6854304635761589,0.6810216652506371,0.65551192920524,0.6978685059550803,0.8361581920903954,0.6915887850467289,0.6704545454545454,302,96
valence_binary,no_sampling_top30_features,RBF SVM,0.6986754966887417,0.6669498725573493,0.6554197229013855,0.7063564284827583,0.8153846153846154,0.7429906542056075,0.5909090909090909,302,96
valence_binary,no_sampling_top30_features,Linear SVM,0.6887417218543046,0.673322005097706,0.6537542079328682,0.6996753199547535,0.8260869565217391,0.7102803738317757,0.6363636363636364,302,96
valence_binary,random_oversampling_top30_features,RBF SVM,0.6986754966887417,0.6636045029736619,0.6535431085561565,0.7057144930029982,0.8121827411167513,0.7476635514018691,0.5795454545454546,302,96
valence_binary,smote_top30_features,Logistic Regression,0.6920529801324503,0.6689677145284623,0.6532721010332951,0.7016522076322412,0.8201058201058201,0.7242990654205608,0.6136363636363636,302,96
valence_binary,smote_all_features,Extra Trees,0.7119205298013245,0.6528780798640612,0.6523637518358274,0.7123969840250485,0.7981220657276995,0.794392523364486,0.5113636363636364,302,96
valence_binary,smote_top30_features,XGBoost,0.695364238410596,0.661268054375531,0.6506914759869249,0.7028096988145414,0.8112244897959183,0.7429906542056075,0.5795454545454546,302,96
